Date,Adj Close,Close,High,Low,Open,Volume
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
2024-04-02,3642.269287109375,3883.800048828125,3909.85009765625,3873.0,3890.0,2142666
2024-04-03,3701.820068359375,3947.300048828125,3981.0,3851.0,3851.0,3973090
2024-04-04,3754.33740234375,4003.300048828125,4028.64990234375,3935.25,3975.89990234375,3394637
2024-04-05,3731.783203125,3979.25,4002.0,3960.5,3978.0,1636819
2024-04-08,3725.499755859375,3972.550048828125,4032.64990234375,3960.0,3983.0,2302538
2024-04-09,3701.11669921875,3946.550048828125,4015.85009765625,3925.050048828125,3984.0,1876992
2024-04-10,3736.847412109375,3984.64990234375,3990.199951171875,3918.0,3956.39990234375,2101965
2024-04-12,3752.5556640625,4001.39990234375,4013.35009765625,3945.5,3971.0,4354821
2024-04-15,3696.099853515625,3941.199951171875,4064.199951171875,3919.050048828125,4001.39990234375,4200329
2024-04-16,3631.953369140625,3872.800048828125,3928.699951171875,3862.85009765625,3902.0,3051420
2024-04-18,3621.825439453125,3862.0,3936.0,3850.0,3876.800048828125,3476284
2024-04-19,3588.25146484375,3826.199951171875,3852.550048828125,3800.89990234375,3838.0,2957749
2024-04-22,3624.26318359375,3864.60009765625,3878.0,3812.0,3837.0,1728883
2024-04-23,3633.73486328125,3874.699951171875,3895.0,3860.60009765625,3877.050048828125,1807586
2024-04-24,3592.799560546875,3831.050048828125,3898.0,3824.449951171875,3890.0,1317312
2024-04-25,3612.63427734375,3852.199951171875,3873.64990234375,3811.0,3811.199951171875,2856271
2024-04-26,3583.702880859375,3821.35009765625,3876.800048828125,3802.550048828125,3855.14990234375,2039178
2024-04-29,3629.514892578125,3870.199951171875,3877.800048828125,3819.199951171875,3838.0,1110693
2024-04-30,3583.046630859375,3820.64990234375,3881.75,3810.0,3872.0,2203078
2024-05-02,3623.04443359375,3863.300048828125,3871.10009765625,3778.050048828125,3778.050048828125,2491044
2024-05-03,3604.381591796875,3843.39990234375,3893.60009765625,3797.60009765625,3890.14990234375,2962234
2024-05-06,3677.20263671875,3921.050048828125,3939.949951171875,3853.0,3853.0,2053831
2024-05-07,3731.501953125,3978.949951171875,3988.0,3913.5,3930.800048828125,2062112
2024-05-08,3729.626220703125,3976.949951171875,3984.300048828125,3938.60009765625,3961.0,1247685
2024-05-09,3713.91796875,3960.199951171875,3971.0,3910.050048828125,3962.0,1726486
2024-05-10,3651.740966796875,3893.89990234375,3973.60009765625,3885.050048828125,3962.60009765625,1672489
2024-05-13,3702.288818359375,3947.800048828125,3955.0,3870.0,3884.5,931326
2024-05-14,3658.587158203125,3901.199951171875,3945.800048828125,3892.89990234375,3936.0,1058317
2024-05-15,3639.08056640625,3880.39990234375,3926.949951171875,3875.5,3904.5,1115021
2024-05-16,3684.942138671875,3900.949951171875,3909.5,3843.5,3891.10009765625,2599399
2024-05-17,3621.7939453125,3834.10009765625,3920.0,3830.0,3919.0,2765804
2024-05-21,3608.66357421875,3820.199951171875,3844.75,3810.050048828125,3830.60009765625,1908117
